name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
Lux Industries Ltd.,LUXIND,539542,TEXTILES APPARELS & ACCESSORIES,OTHER APPARELS & ACCESSORIES,584.20,55.00,0.09,45540.00,45387.00,48.00,45303.00,37.10,45363.00,103.10,32.90
Zensar Technologies Ltd.,ZENSARTECH,504067,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,1009.90,230.90,0.19,36.60,45478.00,224.90,51.00,173.90,45480.00,525.80,45345.00
PCBL Ltd.,PCBL,506590,CHEMICALS & PETROCHEMICALS,CARBON BLACK,1248.60,238.10,0.16,48.20,21.00,171.60,48.80,122.60,45325.00,431.60,45393.00
Zydus Wellness Ltd.,ZYDUSWELL,531335,FMCG,PACKAGED FOODS,423.10,45520.00,0.04,45509.00,45418.00,45451.00,45475.00,45540.00,0.90,281.20,44.20
Linde India Ltd.,LINDEINDIA,523457,GENERAL INDUSTRIALS,INDUSTRIAL GASES,537.70,173.60,0.24,49.70,45323.00,141.30,34.60,108.70,45516.00,417.90,49.00
FDC Ltd.,FDC,531599,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,409.90,76.40,0.16,45544.00,45292.00,92.70,45557.00,69.80,45326.00,251.20,45397.00
The New India Assurance Company Ltd.,NIACL,540769,BANKING AND FINANCE,GENERAL INSURANCE,10773.40,-246.50,-0.02,0.00,0.00,-242.00,-46.70,-176.10,-1.10,947.00,45478.00
Sundaram Finance Ltd.,SUNDARMFIN,590071,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),322.50,1332.10,0.78,43.60,820.30,470.60,142.80,365.40,33.20,1506.70,135.60
TeamLease Services Ltd.,TEAMLEASE,539658,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,2240.80,45535.00,0.01,45547.00,45414.00,45411.00,45505.00,45378.00,45367.00,106.60,63.50
Galaxy Surfactants Ltd.,GALAXYSURF,540935,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,858.20,124.90,0.13,45497.00,45387.00,97.50,45311.00,77.40,45525.00,349.30,98.50
Bandhan Bank Ltd.,BANDHANBNK,541153,BANKING AND FINANCE,BANKS,1400.20,1583.40,0.35,0.00,2048.60,947.20,226.10,721.20,45416.00,2541.10,45519.00
ICICI Securities Ltd.,ISEC,541179,BANKING AND FINANCE,CAPITAL MARKETS,433.50,810.20,0.65,45529.00,215.10,569.40,145.70,423.60,45304.00,1238.10,38.30
