name,NSE_code,BSE_code,sector,industry,operating_expenses,operating_profit,operating_profit_margin,depreciation,interest,profit_before_tax,tax,net_profit,EPS,profit_TTM,EPS_TTM
3M India Ltd.,3MINDIA,523395,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,847.40,192.10,0.18,45547.00,0.70,195.90,49.80,146.10,129.70,535.90,475.70
ACC Ltd.,ACC,500410,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,3885.40,549.30,0.12,212.80,45563.00,517.70,131.50,387.90,45493.00,1202.70,64.00
AIA Engineering Ltd.,AIAENG,532683,GENERAL INDUSTRIALS,OTHER INDUSTRIAL GOODS,912.70,382.10,0.30,45436.00,45389.00,412.50,88.40,323.10,34.30,1216.10,128.90
APL Apollo Tubes Ltd.,APLAPOLLO,533758,METALS & MINING,IRON & STEEL PRODUCTS,4305.40,325.00,0.07,41.30,45469.00,276.70,73.80,202.90,45358.00,767.50,45500.00
Au Small Finance Bank Ltd.,AUBANK,540611,BANKING AND FINANCE,BANKS,1026.70,647.70,0.26,0.00,1282.10,533.40,131.50,401.80,6.00,1606.20,24.00
Adani Ports & Special Economic Zone Ltd.,ADANIPORTS,532921,TRANSPORTATION,MARINE PORT & SERVICES,2982.40,3664.00,0.55,974.50,520.10,2474.90,759.00,1747.80,45299.00,6337.00,45380.00
Adani Energy Solutions Ltd.,ADANIENSOL,ASM,UTILITIES,ELECTRIC UTILITIES,2169.30,1504.60,0.41,432.10,640.80,369.90,84.90,275.90,45414.00,1315.10,45515.00
Aditya Birla Fashion and Retail Ltd.,ABFRL,535755,RETAILING,DEPARTMENT STORES,2903.60,322.90,0.10,388.80,208.40,-228.60,-28.20,-179.20,-1.90,-491.70,-5.20
Aegis Logistics Ltd.,AEGISCHEM,500003,OIL & GAS,OIL MARKETING & DISTRIBUTION,1026.50,208.30,0.17,34.10,45469.00,192.00,42.00,127.00,45446.00,509.00,45426.00
Ajanta Pharma Ltd.,AJANTPHARM,532331,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,737.80,290.70,0.28,33.70,45353.00,275.90,80.60,195.30,45427.00,660.20,52.30
Alembic Pharmaceuticals Ltd.,APLLTD,533573,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1386.70,208.20,0.13,67.60,45488.00,135.10,-1.90,136.60,7.00,531.70,27.00
Alkem Laboratories Ltd.,ALKEM,539523,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,2693.40,746.70,0.22,73.90,45381.00,648.00,33.10,620.50,51.90,1432.90,119.90
Amara Raja Energy & Mobility Ltd.,ARE&M,500008,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,2556.90,402.50,0.14,115.70,45328.00,309.80,83.50,226.30,45335.00,779.80,45.70
Ambuja Cements Ltd.,AMBUJACEM,500425,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,6122.10,1301.80,0.18,380.90,61.20,1335.70,352.50,793.00,4.00,2777.90,14.00
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,508869,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE FACILITIES,4219.40,627.50,0.13,163.40,111.30,376.90,130.20,232.90,45338.00,697.50,48.50
Apollo Tyres Ltd.,APOLLOTYRE,500877,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,5119.80,1159.80,0.18,360.30,132.80,679.90,205.80,474.30,45419.00,1590.70,25.00
Ashok Leyland Ltd.,ASHOKLEY,500477,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,9558.60,1870.40,0.16,226.60,715.10,924.40,358.00,526.00,45505.00,2141.50,45358.00
Asian Paints Ltd.,ASIANPAINT,500820,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,6762.30,1716.20,0.20,208.70,50.90,1621.80,418.60,1205.40,45455.00,5062.60,52.80
Astral Ltd.,ASTRAL,532830,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,1142.90,220.10,0.16,48.70,8.00,176.80,45.10,131.20,45539.00,549.70,45402.00
Atul Ltd.,ATUL,500027,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,1038.50,155.20,0.13,54.00,45536.00,121.50,32.50,90.30,45473.00,392.30,132.90
Aurobindo Pharma Ltd.,AUROPHARMA,524804,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,5846.00,1373.40,0.19,417.50,68.20,1074.70,323.70,757.20,45516.00,2325.50,39.70
Avanti Feeds Ltd.,AVANTIFEED,512573,FOOD BEVERAGES & TOBACCO,OTHER FOOD PRODUCTS,1184.50,94.00,0.07,45365.00,0.20,113.00,45442.00,74.20,45417.00,336.40,45497.00
Avenue Supermarts Ltd.,DMART,540376,RETAILING,DEPARTMENT STORES,11619.40,1005.00,0.08,174.40,45458.00,851.90,228.60,623.60,45452.00,2332.10,35.80
Axis Bank Ltd.,AXISBANK,532215,BANKING AND FINANCE,BANKS,9207.30,9166.00,0.33,0.00,14749.00,8313.80,2096.10,6204.10,45311.00,13121.00,42.60
Bajaj Auto Ltd.,BAJAJ-AUTO,532977,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,8708.10,2130.10,0.20,91.80,45418.00,2400.40,564.00,202.00,71.40,6841.60,241.80
Bajaj Finance Ltd.,BAJFINANCE,500034,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),2851.50,9449.70,0.71,158.50,4537.10,4757.60,1207.00,3550.80,58.70,13118.50,216.70
Bajaj Finserv Ltd.,BAJAJFINSV,532978,DIVERSIFIED,HOLDING COMPANIES,14992.20,9949.90,0.38,208.80,4449.10,5292.00,1536.50,1929.00,45303.00,7422.60,46.60
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,500490,DIVERSIFIED,HOLDING COMPANIES,33.50,191.20,0.85,45390.00,0.20,197.90,73.90,1491.20,134.00,5545.10,498.30
Balkrishna Industries Ltd.,BALKRISIND,502355,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,1720.50,532.70,0.24,160.40,45558.00,455.50,108.10,347.40,18.00,1047.50,54.20
Balrampur Chini Mills Ltd.,BALRAMCHIN,500038,FOOD BEVERAGES & TOBACCO,SUGAR,1374.60,164.90,0.11,41.20,45339.00,215.90,56.60,166.30,45330.00,540.50,45530.00
Bank of Baroda,BANKBARODA,532134,BANKING AND FINANCE,BANKS,8430.40,9807.90,0.34,0.00,17527.70,6022.80,1679.70,4458.40,45420.00,18602.90,35.90
Bank of India,BANKINDIA,532149,BANKING AND FINANCE,BANKS,3704.90,3818.80,0.25,0.00,9255.70,2977.40,1488.60,1498.50,45446.00,5388.70,45304.00
Bata India Ltd.,BATAINDIA,500043,RETAILING,FOOTWEAR,637.50,181.70,0.22,81.70,45410.00,46.10,45303.00,34.00,45445.00,289.70,45434.00
Berger Paints (India) Ltd.,BERGEPAINT,509480,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,2293.70,473.60,0.17,82.90,45312.00,385.00,96.70,291.60,45414.00,1032.60,45543.00
Bharat Electronics Ltd.,BEL,500049,GENERAL INDUSTRIALS,DEFENCE,2994.90,1014.20,0.25,108.30,45413.00,1041.50,260.70,789.40,45292.00,3323.00,45416.00
Bharat Forge Ltd.,BHARATFORG,500493,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,3152.80,621.40,0.16,211.30,124.30,336.10,121.80,227.20,45539.00,783.70,45520.00
Bharat Heavy Electricals Ltd.,BHEL,500103,GENERAL INDUSTRIALS,HEAVY ELECTRICAL EQUIPMENT,5513.00,-387.70,-0.08,59.90,180.40,-447.90,-197.90,-238.10,-0.70,71.30,0.20
Bharat Petroleum Corporation Ltd.,BPCL,500547,OIL & GAS,REFINERIES/PETRO-PRODUCTS,90103.90,12940.50,0.13,1605.30,973.20,10755.70,2812.20,8243.50,38.70,27505.30,129.20
Bharti Airtel Ltd.,BHARTIARTL,532454,TELECOM SERVICES,TELECOM SERVICES,17530.10,19513.70,0.53,9734.30,5185.80,3353.70,1846.50,1340.70,45384.00,7547.00,45335.00
Indus Towers Ltd.,INDUSTOWER,534816,TELECOM SERVICES,OTHER TELECOM SERVICES,3498.80,3633.70,0.51,1525.60,458.60,1746.70,452.00,1294.70,45508.00,3333.50,45394.00
Biocon Ltd.,BIOCON,532523,PHARMACEUTICALS & BIOTECHNOLOGY,BIOTECHNOLOGY,2720.70,741.60,0.21,389.30,247.70,238.50,41.60,125.60,45292.00,498.40,45326.00
Birla Corporation Ltd.,BIRLACORPN,500335,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,1997.00,288.90,0.13,143.50,95.40,77.10,45522.00,58.40,45450.00,153.10,45554.00
Blue Dart Express Ltd.,BLUEDART,526612,TRANSPORTATION,TRANSPORTATION - LOGISTICS,1101.80,222.70,0.17,110.60,45431.00,97.90,45528.00,73.10,45534.00,292.40,123.20
Blue Star Ltd.,BLUESTARCO,500067,CONSUMER DURABLES,CONSUMER ELECTRONICS,1767.70,122.70,0.06,23.00,45460.00,95.00,45375.00,70.70,45446.00,437.70,45372.00
Bombay Burmah Trading Corporation Ltd.,BBTC,501425,FOOD BEVERAGES & TOBACCO,TEA & COFFEE,3664.70,859.20,0.19,74.70,154.60,697.10,212.60,122.00,45429.00,-1499.50,-214.80
Bosch Ltd.,BOSCHLTD,500530,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,3638.80,491.30,0.12,101.30,45334.00,1317.00,318.10,999.80,339.00,2126.90,721.00
Brigade Enterprises Ltd.,BRIGADE,532929,REALTY,REALTY,1041.80,324.80,0.24,75.70,110.00,180.30,67.80,133.50,45509.00,298.20,45547.00
Britannia Industries Ltd.,BRITANNIA,500825,FMCG,PACKAGED FOODS,3560.50,872.40,0.20,71.70,53.40,799.70,212.10,587.60,45406.00,2536.20,105.30
CCL Products India Ltd.,CCL,519600,FOOD BEVERAGES & TOBACCO,TEA & COFFEE,497.70,109.90,0.18,45465.00,45400.00,69.70,45512.00,60.90,45447.00,279.90,21.00
Crisil Ltd.,CRISIL,500092,BANKING AND FINANCE,OTHER FINANCIAL SERVICES,544.20,191.70,0.26,45438.00,0.80,200.30,48.30,152.00,45524.00,606.30,82.90
Zydus Lifesciences Ltd.,ZYDUSLIFE,532321,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,3222.70,1146.10,0.26,184.20,45481.00,1007.20,226.40,800.70,45542.00,2807.10,45500.00
Can Fin Homes Ltd.,CANFINHOME,511196,BANKING AND FINANCE,HOUSING FINANCE,49.70,749.20,0.86,45506.00,548.40,198.00,39.90,158.10,45546.00,658.80,49.50
Canara Bank,CANBK,532483,BANKING AND FINANCE,BANKS,8250.30,7706.60,0.28,0.00,17934.30,5098.00,1420.60,386.00,45555.00,13968.40,77.00
Carborundum Universal Ltd.,CARBORUNIV,513375,GENERAL INDUSTRIALS,OTHER INDUSTRIAL PRODUCTS,978.80,167.50,0.15,45.90,45539.00,136.40,43.70,101.90,45387.00,461.30,45375.00
Castrol India Ltd.,CASTROLIND,500870,OIL & GAS,OIL MARKETING & DISTRIBUTION,914.40,268.60,0.23,45557.00,45384.00,263.50,69.10,194.40,2.00,815.50,45330.00
Ceat Ltd.,CEATLTD,500878,AUTOMOBILES & AUTO COMPONENTS,AUTO TYRES & RUBBER PRODUCTS,2597.20,456.10,0.15,124.50,71.70,270.40,68.30,208.00,51.40,521.70,129.00
Central Bank of India,CENTRALBK,532885,BANKING AND FINANCE,BANKS,2565.40,1535.40,0.21,0.00,4337.70,567.20,-41.50,622.00,0.70,2181.40,45414.00
Century Plyboards (India) Ltd.,CENTURYPLY,532548,FOREST MATERIALS,FOREST PRODUCTS,852.50,144.30,0.14,45405.00,45297.00,129.40,32.20,96.90,45386.00,380.70,45308.00
Cera Sanitaryware Ltd.,CERA,532443,DIVERSIFIED CONSUMER SERVICES,FURNITURE-FURNISHING-PAINTS,387.20,76.50,0.16,45543.00,45383.00,77.20,45523.00,56.90,43.80,232.40,178.70
Chambal Fertilisers & Chemicals Ltd.,CHAMBLFERT,500085,FERTILIZERS,FERTILIZERS,4770.50,615.00,0.11,78.40,45.80,572.60,200.20,381.00,45331.00,1137.70,45378.00
Cholamandalam Investment & Finance Company Ltd.,CHOLAFIN,511243,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),987.60,3235.10,0.70,38.50,2204.20,1065.00,288.80,772.90,45391.00,3022.80,36.70
Cipla Ltd.,CIPLA,500087,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,4944.40,1733.80,0.26,290.00,45529.00,1594.20,438.40,1130.90,14.00,3449.10,42.70
City Union Bank Ltd.,CUB,532210,BANKING AND FINANCE,BANKS,333.90,386.60,0.30,0.00,765.60,330.60,50.00,280.60,45507.00,943.80,45485.00
Coal India Ltd.,COALINDIA,533278,METALS & MINING,COAL,24639.40,8137.00,0.25,1178.20,182.50,8760.20,2036.50,6799.80,11.00,28059.60,45.50
Colgate-Palmolive (India) Ltd.,COLPAL,500830,FMCG,PERSONAL PRODUCTS,989.00,482.10,0.33,44.30,45292.00,457.80,117.80,340.10,45424.00,1173.20,43.10
Container Corporation of India Ltd.,CONCOR,531344,COMMERCIAL SERVICES & SUPPLIES,WAREHOUSING AND LOGISTICS,1648.40,546.50,0.25,153.10,45428.00,481.80,119.00,367.40,6.00,1186.20,45431.00
Coromandel International Ltd.,COROMANDEL,506395,FERTILIZERS,FERTILIZERS,5929.40,1058.70,0.15,54.00,46.20,1003.30,245.00,756.90,45498.00,2024.20,68.80
Crompton Greaves Consumer Electricals Ltd.,CROMPTON,539876,CONSUMER DURABLES,HOUSEHOLD APPLIANCES,1607.80,174.50,0.10,32.10,45433.00,135.80,34.90,97.20,45413.00,432.00,45479.00
Cummins India Ltd.,CUMMINSIND,500480,GENERAL INDUSTRIALS,INDUSTRIAL MACHINERY,1575.40,346.20,0.18,38.30,45510.00,390.90,99.60,329.10,45546.00,1445.50,52.10
Cyient Ltd.,CYIENT,532175,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,1452.70,325.80,0.18,65.80,27.00,240.30,56.70,178.30,45367.00,665.60,60.10
DCM Shriram Ltd.,DCMSHRIRAM,523367,CHEMICALS & PETROCHEMICALS,SPECIALTY CHEMICALS,2593.90,114.10,0.04,74.00,45487.00,47.50,45337.00,32.20,45293.00,617.60,39.40
DLF Ltd.,DLF,532868,REALTY,REALTY,885.30,462.40,0.34,37.00,90.20,464.00,112.20,622.80,45414.00,2239.00,9.00
Dabur India Ltd.,DABUR,500096,FMCG,PERSONAL PRODUCTS,2543.00,660.90,0.21,98.30,45319.00,650.80,144.30,515.00,45537.00,1755.70,45544.00
Delta Corp Ltd.,DELTACORP,532848,COMMERCIAL SERVICES & SUPPLIES,MISC. COMMERCIAL SERVICES,170.50,100.10,0.37,45551.00,45475.00,92.40,23.00,69.40,45445.00,273.30,45332.00
Divi's Laboratories Ltd.,DIVISLAB,532488,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,143.00,479.00,0.25,95.00,1.00,469.00,121.00,348.00,45304.00,1331.80,50.30
Dr. Lal Pathlabs Ltd.,LALPATHLAB,539524,DIVERSIFIED CONSUMER SERVICES,HEALTHCARE SERVICES,423.50,177.80,0.30,35.90,45511.00,152.20,41.50,109.30,45335.00,301.40,36.10
Dr. Reddy's Laboratories Ltd.,DRREDDY,500124,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,4888.80,2008.30,0.29,375.50,35.30,1912.50,434.50,1482.20,89.10,5091.20,305.20
EID Parry (India) Ltd.,EIDPARRY,500125,FOOD BEVERAGES & TOBACCO,OTHER FOOD PRODUCTS,8002.00,1057.50,0.12,101.20,74.20,1032.80,246.80,452.30,45437.00,991.00,55.80
Eicher Motors Ltd.,EICHERMOT,505200,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,3027.40,1087.20,0.26,142.50,45485.00,1205.70,291.10,1016.20,37.10,3581.00,130.80
Emami Ltd.,EMAMILTD,531162,FMCG,PERSONAL PRODUCTS,631.20,233.70,0.27,46.10,45324.00,196.40,45519.00,178.50,45295.00,697.80,16.00
Endurance Technologies Ltd.,ENDURANCE,540153,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,2226.70,318.30,0.13,118.40,45513.00,205.60,51.10,154.60,11.00,562.80,40.00
Engineers India Ltd.,ENGINERSIN,532178,COMMERCIAL SERVICES & SUPPLIES,CONSULTING SERVICES,691.30,98.50,0.12,45359.00,0.40,133.60,32.20,127.50,45353.00,472.70,45390.00
Escorts Kubota Ltd.,ESCORTS,500495,AUTOMOBILES & AUTO COMPONENTS,COMMERCIAL VEHICLES,1798.60,260.70,0.13,40.80,45294.00,311.90,79.70,223.30,45463.00,910.50,82.40
Exide Industries Ltd.,EXIDEIND,500086,AUTOMOBILES & AUTO COMPONENTS,AUTO PARTS & EQUIPMENT,3872.40,499.10,0.11,141.50,45502.00,365.30,95.20,269.40,45325.00,872.70,45361.00
Federal Bank Ltd.,FEDERALBNK,500469,BANKING AND FINANCE,BANKS,1603.80,1400.30,0.24,0.00,3544.10,1342.70,342.60,994.10,45355.00,3671.40,45458.00
Finolex Cables Ltd.,FINCABLES,500144,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,1041.30,146.10,0.12,45514.00,0.40,176.70,52.30,154.20,45301.00,643.90,42.10
Finolex Industries Ltd.,FINPIPE,500940,GENERAL INDUSTRIALS,PLASTIC PRODUCTS,780.20,103.00,0.12,45409.00,45424.00,124.50,35.40,98.00,45444.00,459.30,45389.00
Firstsource Solutions Ltd.,FSL,532809,SOFTWARE & SERVICES,BPO/KPO,1311.20,228.80,0.15,65.40,45317.00,154.30,45531.00,126.50,45536.00,551.70,45542.00
GAIL (India) Ltd.,GAIL,532155,UTILITIES,UTILITIES,29405.50,3580.20,0.11,837.30,199.60,2748.70,696.30,2444.10,45476.00,5283.80,8.00
GlaxoSmithKline Pharmaceuticals Ltd.,GLAXO,500660,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,667.50,289.50,0.30,45309.00,0.40,299.20,81.70,217.50,45516.00,647.80,38.20
Glenmark Pharmaceuticals Ltd.,GLENMARK,532296,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,2745.10,462.30,0.14,141.50,121.50,-124.40,55.90,-81.90,-2.90,-196.30,-7.00
Godrej Consumer Products Ltd.,GODREJCP,532424,FMCG,PERSONAL PRODUCTS,2897.80,704.20,0.20,60.90,77.30,619.40,186.60,432.80,45326.00,1750.10,45308.00
Godrej Industries Ltd.,GODREJIND,500164,DIVERSIFIED,DIVERSIFIED,3672.10,265.50,0.07,89.30,333.10,162.40,75.90,87.30,45445.00,880.00,45317.00
Godrej Properties Ltd.,GODREJPROP,533150,REALTY,REALTY,404.70,-61.70,-0.18,45389.00,48.00,145.10,38.80,66.80,45384.00,662.60,45527.00
Granules India Ltd.,GRANULES,532482,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,976.50,213.00,0.18,52.50,26.00,136.00,33.90,102.10,45326.00,393.90,45367.00
Great Eastern Shipping Company Ltd.,GESHIP,500620,TRANSPORTATION,SHIPPING,585.60,643.40,0.52,186.70,77.10,611.90,45368.00,594.70,41.60,2520.10,176.50
Gujarat Alkalies & Chemicals Ltd.,GUJALKALI,530001,CHEMICALS & PETROCHEMICALS,COMMODITY CHEMICALS,926.10,45.20,0.05,95.20,45514.00,45332.00,-0.10,-18.40,-2.50,82.70,45362.00
Gujarat Gas Ltd.,GUJGASLTD,539336,UTILITIES,UTILITIES,3494.50,496.60,0.12,117.90,45511.00,399.10,102.90,296.20,45355.00,1254.30,45340.00
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,GNFC,500670,FERTILIZERS,FERTILIZERS,1911.00,169.00,0.08,78.00,1.00,242.00,64.00,182.00,45484.00,932.00,60.10
Gujarat Pipavav Port Ltd.,GPPL,533248,TRANSPORTATION,MARINE PORT & SERVICES,102.00,150.60,0.60,45532.00,45324.00,141.10,53.40,92.30,45536.00,341.80,45298.00
Gujarat State Fertilizer & Chemicals Ltd.,GSFC,500690,FERTILIZERS,FERTILIZERS,2881.40,237.30,0.08,45.70,45444.00,387.00,78.10,308.90,45511.00,1056.20,45438.00
Gujarat State Petronet Ltd.,GSPL,532702,UTILITIES,UTILITIES,3497.20,913.70,0.21,165.00,45426.00,779.20,198.70,454.60,45299.00,1522.00,27.00
HCL Technologies Ltd.,HCLTECH,532281,SOFTWARE & SERVICES,IT CONSULTING & SOFTWARE,20743.00,5929.00,0.22,101.00,156.00,5128.00,1295.00,3832.00,45336.00,15445.00,56.90
HDFC Bank Ltd.,HDFCBANK,500180,BANKING AND FINANCE,BANKS,42037.60,24279.10,0.32,0.00,41249.90,20967.40,3655.00,16811.40,45344.00,54474.60,71.80
Havells India Ltd.,HAVELLS,517354,CONSUMER DURABLES,OTHER ELECTRICAL EQUIPMENT/PRODUCTS,3527.00,373.40,0.10,81.20,45360.00,335.30,86.20,249.10,4.00,1177.70,45522.00
Hero MotoCorp Ltd.,HEROMOTOCO,500182,AUTOMOBILES & AUTO COMPONENTS,2/3 WHEELERS,8173.50,1359.50,0.14,187.10,25.00,1355.60,353.10,1006.30,50.30,3247.60,162.50
HFCL Ltd.,HFCL,500183,TELECOMMUNICATIONS EQUIPMENT,TELECOM CABLES,978.90,132.60,0.12,45403.00,34.80,93.50,24.00,69.40,0.50,305.50,45293.00
Hindalco Industries Ltd.,HINDALCO,500440,METALS & MINING,ALUMINIUM AND ALUMINIUM PRODUCTS,48557.00,5612.00,0.10,1843.00,1034.00,3231.00,1035.00,2196.00,45544.00,8423.00,37.90
Hindustan Copper Ltd.,HINDCOPPER,513599,METALS & MINING,COPPER,260.20,121.20,0.32,45.60,45295.00,82.60,45556.00,60.70,0.60,320.50,45354.00
Hindustan Petroleum Corporation Ltd.,HINDPETRO,500104,OIL & GAS,REFINERIES/PETRO-PRODUCTS,87512.00,824.00,0.09,1247.30,590.00,6744.10,1616.00,5827.00,41.10,16645.00,117.30
Hindustan Unilever Ltd.,HINDUNILVR,500696,FMCG,PERSONAL PRODUCTS,11826.00,3797.00,0.24,297.00,88.00,359.00,931.00,2656.00,45362.00,10284.00,43.80
Hindustan Zinc Ltd.,HINDZINC,500188,METALS & MINING,ZINC,3652.00,3139.00,0.46,825.00,232.00,2305.00,576.00,1729.00,45295.00,8432.00,20.00
Housing and Urban Development Corporation Ltd.,HUDCO,540530,BANKING AND FINANCE,HOUSING FINANCE,82.70,1809.60,0.97,45384.00,1216.80,606.40,154.70,451.60,45353.00,1790.70,45543.00
ITC Ltd.,ITC,500875,FOOD BEVERAGES & TOBACCO,CIGARETTES-TOBACCO PRODUCTS,11320.20,6454.20,0.36,453.00,45544.00,6656.20,1700.30,4898.10,45538.00,20185.10,45338.00
ICICI Bank Ltd.,ICICIBANK,532174,BANKING AND FINANCE,BANKS,23911.00,15473.20,0.40,0.00,17908.00,14824.20,3808.80,11805.60,45458.00,41086.80,58.70
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,540133,BANKING AND FINANCE,LIFE INSURANCE,17612.30,-229.60,-0.01,0.00,0.00,340.20,32.50,243.90,45474.00,906.90,45357.00
IDBI Bank Ltd.,IDBI,500116,BANKING AND FINANCE,BANKS,1922.30,2175.30,0.36,0.00,2966.10,2396.90,1003.70,1385.40,45352.00,4776.30,45386.00
IDFC First Bank Ltd.,IDFCFIRSTB,539437,BANKING AND FINANCE,BANKS,3849.00,1511.20,0.21,0.00,3405.60,982.80,236.00,746.90,45292.00,2911.10,45355.00
IDFC Ltd.,IDFC,532659,BANKING AND FINANCE,FINANCE (INCLUDING NBFCS),6.00,45473.00,0.84,0.00,0.00,45473.00,45449.00,223.50,45383.00,4147.10,45560.00
IRB Infrastructure Developers Ltd.,IRB,532947,CEMENT AND CONSTRUCTION,ROADS & HIGHWAYS,950.40,794.60,0.46,232.70,434.60,256.90,85.80,95.70,0.20,501.00,0.80
ITI Ltd.,ITI,523610,TELECOMMUNICATIONS EQUIPMENT,TELECOM EQUIPMENT,299.30,-52.80,-0.21,45364.00,69.30,-125.80,0.00,-126.00,-1.30,-388.40,-4.00
Vodafone Idea Ltd.,IDEA,532822,TELECOM SERVICES,TELECOM SERVICES,6433.50,4282.80,0.40,5667.30,6569.00,-7919.00,817.70,-8737.90,-1.80,-30986.80,-6.40
India Cements Ltd.,INDIACEM,530005,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,126.00,45386.00,0.00,55.00,60.40,-103.00,-17.40,-80.10,-2.60,-261.10,-8.40
Indiabulls Housing Finance Ltd.,IBULHSGFIN,535789,BANKING AND FINANCE,HOUSING FINANCE,190.60,1779.20,0.80,45557.00,1349.80,421.60,123.60,298.00,45418.00,1146.00,45375.00
Indian Bank,INDIANB,532814,BANKING AND FINANCE,BANKS,3599.10,4327.70,0.31,0.00,8002.60,2776.70,768.60,2068.50,45459.00,6893.30,55.30
Indian Hotels Company Ltd.,INDHOTEL,500850,HOTELS RESTAURANTS & TOURISM,HOTELS,1078.40,354.80,0.25,111.20,59.00,232.20,72.30,166.90,45323.00,1100.30,45480.00
Indian Oil Corporation Ltd.,IOC,530965,OIL & GAS,OIL MARKETING & DISTRIBUTION,156013.10,23328.40,0.13,3609.60,2135.00,18090.20,4699.70,13114.30,45421.00,38614.30,45378.00
Indian Overseas Bank,IOB,532388,BANKING AND FINANCE,BANKS,1785.10,1679.80,0.29,0.00,3476.60,635.50,45359.00,627.20,0.30,2341.90,45323.00
Indraprastha Gas Ltd.,IGL,532514,UTILITIES,UTILITIES,2801.60,656.90,0.19,102.20,45414.00,613.90,151.40,552.70,45542.00,1806.20,45529.00
IndusInd Bank Ltd.,INDUSINDBK,532187,BANKING AND FINANCE,BANKS,3449.90,3908.70,0.35,0.00,6171.10,2934.90,732.90,2202.20,45410.00,8333.70,107.20
Info Edge (India) Ltd.,NAUKRI,532777,SOFTWARE & SERVICES,INTERNET SOFTWARE & SERVICES,421.20,204.70,0.33,45560.00,45330.00,382.80,68.70,205.10,45550.00,-25.60,-2.00
InterGlobe Aviation Ltd.,INDIGO,539448,TRANSPORTATION,AIRLINES,12743.60,2200.30,0.15,1549.00,1021.30,189.10,0.20,188.90,45539.00,5621.30,145.70
Ipca Laboratories Ltd.,IPCALAB,524494,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,1712.70,321.30,0.16,90.30,44.10,225.40,87.90,145.10,45478.00,492.20,45401.00
J B Chemicals & Pharmaceuticals Ltd.,JBCHEPHARM,506943,PHARMACEUTICALS & BIOTECHNOLOGY,PHARMACEUTICALS,638.20,243.50,0.28,32.20,45392.00,208.70,58.10,150.60,45482.00,486.60,31.40
JK Cement Ltd.,JKCEMENT,532644,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,2285.80,467.00,0.17,137.10,115.00,244.20,65.70,178.10,45314.00,444.00,57.50
JK Lakshmi Cement Ltd.,JKLAKSHMI,500380,CEMENT AND CONSTRUCTION,CEMENT & CEMENT PRODUCTS,1357.30,217.30,0.14,56.60,33.60,141.00,45.10,92.70,45542.00,357.60,45412.00
JM Financial Ltd.,JMFINANCIL,523405,DIVERSIFIED,HOLDING COMPANIES,407.90,662.60,0.55,45335.00,388.10,277.90,72.40,194.90,2.00,608.10,45388.00
